[22:56:37] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[22:56:37] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[22:56:37] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2860 for Minecraft 1.12.2 loading
[22:56:37] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_202, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_202
[22:56:37] [main/DEBUG] [FML]: Java classpath at launch is:
[22:56:37] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2860.jar
[22:56:37] [main/DEBUG] [FML]: Java library path at launch is:
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\Sun\Java\bin
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\system32
[22:56:37] [main/DEBUG] [FML]:     C:\Windows
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\system32
[22:56:37] [main/DEBUG] [FML]:     C:\Windows
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\Wbem
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\WindowsPowerShell\v1.0\
[22:56:37] [main/DEBUG] [FML]:     C:\Windows\System32\OpenSSH\
[22:56:37] [main/DEBUG] [FML]:     C:\Program Files\Git\cmd
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Python\Python312\Scripts\
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Python\Python312\
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Microsoft\WindowsApps
[22:56:37] [main/DEBUG] [FML]:     C:\Users\frank\AppData\Local\Programs\Microsoft VS Code\bin
[22:56:37] [main/DEBUG] [FML]:     C:\msys64\ucrt64\bin
[22:56:37] [main/DEBUG] [FML]:     C:\msys64\mingw64\bin
[22:56:37] [main/DEBUG] [FML]:     C:\MinGW\bin
[22:56:37] [main/DEBUG] [FML]:     
[22:56:37] [main/DEBUG] [FML]:     .
[22:56:37] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: C:\Users\frank\OneDrive\Desktop\mc-server-share-mod1\server1.20.4\libraries
[22:56:37] [main/DEBUG] [FML]: Cleaning up mods folder: .\mods
[22:56:37] [main/DEBUG] [FML]: Examining file: !mod-director-launchwrapper-1.8.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aaa_particles-1.20.1-1.4.7-forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AdHooks-1.12.2-3.3.1.0-build.0626.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: adorabuild-structures-2.8.0-forge-1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: Advanced-Fishing-1.12.2-1.3.3.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: advancednetherite-forge-2.1.3-1.20.1.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aeroblender-1.20.1-1.0.1-neoforge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aether-1.20.1-1.4.2-neoforge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aether-redux-2.0.17-1.20.1-neoforge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AetherVillages-1.20.1-1.0.7-forge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aether_enhanced_extinguishing-1.20.1-1.0.0-neoforge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: aether_protect_your_moa-1.20.1-1.0.0-neoforge.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: AIReducer-1.12.2-0.3.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: alcatrazcore-1.0.4.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: alexsmobs-1.22.9.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: alternate_current-mc1.20-1.7.0.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: amendments-1.20-1.2.12.jar
[22:56:37] [main/DEBUG] [FML]: Examining file: another_furniture-forge-1.20.1-3.0.1.jar
